name;code;active;region_id;created_at;updated_at
Briceño;05117;1;1;2021-04-02;2021-04-02
Briceño;15106;1;5;2021-04-02;2021-04-02
Bucaramanga;68001;1;21;2021-04-02;2021-04-02
Bucarasica;54109;1;18;2021-04-02;2021-04-02
Buenaventura;76109;1;24;2021-04-02;2021-04-02
Buenavista;055057;1;5;2021-04-02;2021-04-02
Buenavista;23079;1;10;2021-04-02;2021-04-02
Buenavista;63111;1;19;2021-04-02;2021-04-02
Buenavista;70110;1;22;2021-04-02;2021-04-02
Buenos Aires;19110;1;8;2021-04-02;2021-04-02
Buesaco;52110;1;17;2021-04-02;2021-04-02
Buga;763041;1;24;2021-04-02;2021-04-02
Bugalagrande;76113;1;24;2021-04-02;2021-04-02
Burítica;05113;1;1;2021-04-02;2021-04-02
Busbanza;15114;1;5;2021-04-02;2021-04-02
Cabrera;25120;1;11;2021-04-02;2021-04-02
Cabrera;68121;1;21;2021-04-02;2021-04-02
Cabuyaro;50124;1;16;2021-04-02;2021-04-02
Cachipay;25123;1;11;2021-04-02;2021-04-02
Caicedo;05125;1;1;2021-04-02;2021-04-02
Caicedonia;76122;1;24;2021-04-02;2021-04-02
Caimito;70124;1;22;2021-04-02;2021-04-02
Cajamarca;73124;1;23;2021-04-02;2021-04-02
Cajibío;19130;1;8;2021-04-02;2021-04-02
Cajicá;25126;1;11;2021-04-02;2021-04-02
Calamar;13140;1;4;2021-04-02;2021-04-02
Calamar;95015;1;31;2021-04-02;2021-04-02
Calarcá;63130;1;19;2021-04-02;2021-04-02
Caldas;05129;1;1;2021-04-02;2021-04-02
Caldas;15131;1;5;2021-04-02;2021-04-02
Caldono;19137;1;8;2021-04-02;2021-04-02
California;68132;1;21;2021-04-02;2021-04-02
Calima (Darién);76126;1;24;2021-04-02;2021-04-02
Caloto;19142;1;8;2021-04-02;2021-04-02
Calí;76001;1;24;2021-04-02;2021-04-02
Campamento;05134;1;1;2021-04-02;2021-04-02
Campo de la Cruz;08137;1;2;2021-04-02;2021-04-02
Campoalegre;41132;1;13;2021-04-02;2021-04-02
Campohermoso;15135;1;5;2021-04-02;2021-04-02
Canalete;23090;1;10;2021-04-02;2021-04-02
Candelaria;08141;1;2;2021-04-02;2021-04-02
Candelaria;76130;1;24;2021-04-02;2021-04-02
Cantagallo;13160;1;4;2021-04-02;2021-04-02
Cantón de San Pablo;272047;1;12;2021-04-02;2021-04-02
Caparrapí;25148;1;11;2021-04-02;2021-04-02
Capitanejo;68147;1;21;2021-04-02;2021-04-02
Caracolí;05142;1;1;2021-04-02;2021-04-02
Caramanta;05145;1;1;2021-04-02;2021-04-02
Carcasí;68152;1;21;2021-04-02;2021-04-02
Carepa;05147;1;1;2021-04-02;2021-04-02
Carmen de Apicalá;73148;1;23;2021-04-02;2021-04-02
Carmen de Carupa;25154;1;11;2021-04-02;2021-04-02
Carmen de Viboral;05148;1;1;2021-04-02;2021-04-02
Carmen del Darién (CURBARADÓ);27150;1;12;2021-04-02;2021-04-02
Carolina;05150;1;1;2021-04-02;2021-04-02
Cartagena;13001;1;4;2021-04-02;2021-04-02
Cartagena del Chairá;18150;1;7;2021-04-02;2021-04-02
Cartago;76147;1;24;2021-04-02;2021-04-02
Carurú;97161;1;32;2021-04-02;2021-04-02
Casabianca;73152;1;23;2021-04-02;2021-04-02
Castilla la Nueva;50150;1;16;2021-04-02;2021-04-02
Caucasia;05154;1;1;2021-04-02;2021-04-02
Cañasgordas;05138;1;1;2021-04-02;2021-04-02
Cepita;05154;1;21;2021-04-02;2021-04-02
Cereté;23162;1;10;2021-04-02;2021-04-02
Cerinza;15162;1;5;2021-04-02;2021-04-02
Cerrito;68162;1;21;2021-04-02;2021-04-02
Cerro San Antonio;47161;1;15;2021-04-02;2021-04-02
Chachaguí;52240;1;17;2021-04-02;2021-04-02
Chaguaní;25168;1;11;2021-04-02;2021-04-02
Chalán;70230;1;22;2021-04-02;2021-04-02
Chaparral;73168;1;23;2021-04-02;2021-04-02
Charalá;68167;1;21;2021-04-02;2021-04-02
Charta;68169;1;21;2021-04-02;2021-04-02
Chigorodó;05172;1;1;2021-04-02;2021-04-02
Chima;68176;1;21;2021-04-02;2021-04-02
Chimichagua;20175;1;9;2021-04-02;2021-04-02
Chimá;23168;1;10;2021-04-02;2021-04-02
Chinavita;15172;1;5;2021-04-02;2021-04-02
Chinchiná;17174;1;6;2021-04-02;2021-04-02
Chinácota;54172;1;18;2021-04-02;2021-04-02
Chinú;23182;1;10;2021-04-02;2021-04-02
Chipaque;25178;1;11;2021-04-02;2021-04-02
Chipatá;68179;1;21;2021-04-02;2021-04-02
Chiquinquirá;15176;1;5;2021-04-02;2021-04-02
Chiriguaná;20178;1;9;2021-04-02;2021-04-02
Chiscas;15180;1;5;2021-04-02;2021-04-02
Chita;15183;1;5;2021-04-02;2021-04-02
Chitagá;54174;1;18;2021-04-02;2021-04-02
Chitaraque;15185;1;5;2021-04-02;2021-04-02
